Date,trial,condition,Jump,toad,avg_dElbExt,ElbExt_td,time_ElbExt_to,time_ElbExt_td,avg_dhLER_to,max_dhLER_to,dhLER_to,t_HLflexes,avg_belt_vel,takeoff_vel,jump_dist,Plant_act_dur_to,Anc_ON_HLliftOff,Anc_act_dur_air,Crash
January 20 2020_A,Rmar01_ExLight,pre,1,1,544.3952943,99.36262469,-0.03,-0.2,0.718566189,3.383606231,0.219965315,0.34,0.103154057,0.681634941,0.187033608,,,,0
January 20 2020_A,Rmar01_ExLight,pre,2,1,115.7847065,79.87456882,0.09,-0.04,0.142657785,2.397708467,-2.418941703,0.32,0.146173755,0.718952284,0.148422817,,,,0
January 20 2020_A,Rmar01_ExLight,pre,3,1,464.6924754,68.68355662,0.1,-0.05,0.52362391,3.005125069,-0.683156382,0.32,0.161737098,0.796535963,0.143402762,,,,0
January 20 2020_A,Rmar01_ExLight,pre,4,1,575.0463864,91.34834921,-0.05,-0.18,0.405367923,2.354605165,-0.940493148,0.29,0.10643523,0.734570247,0.171873988,,,,0
January 20 2020_A,Rmar01_ExLight,pre,5,1,57.19581988,74.78682702,0.09,-0.04,0.454953909,2.374239135,-3.106719528,0.34,0.102731917,0.768473665,0.169376644,,,,0
January 20 2020_A,Rmar01_ExLight,pre,6,1,176.4893679,75.4542306,0.11,-0.04,0.361435287,2.360080922,-0.715973941,0.32,0.092893515,0.923883198,0.164426538,,,,0
January 20 2020_A,Rmar01_ExLight,pre,7,1,125.8880801,97.44771208,0.16,-0.01,0.847206664,3.556964986,-1.406589532,0.35,0.085519804,0.773416747,0.197239631,,,,0
January 20 2020_A,Rmar01_ExLight,pre,8,1,207.2955574,93.43836918,0.17,-0.01,0.958309338,3.876464214,-1.575364737,0.14,0.095070779,0.875840492,0.223725011,,,,0
January 20 2020_A,Rmar01_ExLight,pre,9,1,255.8450065,58.23230881,0.1,-0.02,0.340766514,2.722466799,-4.130701568,0.34,0.089219856,0.764540254,0.146428787,,,,0
January 20 2020_A,Rmar01,pre,1,1,489.4454686,63.31078896,0.08,-0.03,0.007919079,2.300395216,-2.902909584,0.28,0.111081457,0.833746293,0.113579568,,,,0
January 20 2020_A,Rmar01,pre,2,1,420.6949796,78.60347973,0.11,-0.01,0.150949825,2.927761355,-0.071512582,0.26,0.114625249,0.932045083,0.157594816,,,,0
January 20 2020_A,Rmar01,pre,3,1,424.7219744,76.02644016,0.1,-0.01,1.029534838,5.040355115,4.431514431,0.17,0.141248164,1.037090059,0.176419736,,,,0
January 20 2020_A,Rmar01,pre,4,1,484.6376211,69.76723628,0.11,-0.01,-0.20233816,2.477972032,-1.356912203,0.31,0.122886327,0.848850415,0.152558252,,,,0
January 20 2020_A,Rmar01,pre,5,1,671.5390741,64.47660565,-0.03,-0.14,0.509540555,3.327458122,-0.782626433,0.26,0.160860294,0.743363063,0.144555467,,,,0
January 20 2020_A,Rmar01,pre,6,1,605.6587418,48.94294557,0.1,-0.02,0.569310572,3.164469666,0.831006819,0.25,0.146953907,0.796187951,0.121640759,,,,0
January 20 2020_A,Rmar01,pre,7,1,230.8799267,60.15485654,0,-0.12,1.036692329,4.357300437,0.869165553,0.17,0.165587906,0.765643608,0.096937365,,,,0
January 20 2020_A,Rmar01,pre,8,1,171.0468412,49.67061072,0.08,-0.01,1.508719664,4.919904891,-0.767856421,0.16,0.17775759,0.892780674,0.149414547,,,,0
January 20 2020_A,Rmar01,pre,9,1,347.2014555,57.23238992,-0.01,-0.09,0.321756733,2.36637535,2.36637535,0.03,0.125420287,0.55517555,0.066366564,,,,0
January 20 2020_A,Rmar01,pre,10,1,85.71914624,50.36823923,0.08,-0.04,-0.218471586,0.860984204,-1.74965596,0.24,0.154927154,0.578311278,0.055026877,,,,0
January 20 2020_A,Rmar01,pre,11,1,450.4175278,47.73082014,-0.01,-0.15,0.933475332,3.763244749,-2.185928432,0.37,0.126661108,0.902282728,0.126142689,,,,0
January 20 2020_A,Rmar01,pre,12,1,321.7812643,69.90155682,0.12,-0.01,0.212213915,2.693670544,-3.230859591,0.33,0.108888235,1.087982537,0.212571584,,,,0
January 20 2020_A,Rmar01,pre,13,1,79.07674435,48.13857551,0.08,-0.03,0.16963429,2.385702531,-3.416266718,0.32,0.118560279,0.347437063,0.052101886,,,,0
January 20 2020_A,Rmar01,pre,14,1,699.8529571,57.46951567,0.12,-0.03,0.15895615,0.941652899,-1.220489326,0.45,0.076534914,0.594097973,0.097980479,,,,0
January 20 2020_A,Rmar01,pre,15,1,433.8893194,70.19105651,0.09,-0.02,-0.214990964,0.463956261,-0.309621181,0.33,0.087794325,0.499713879,0.057653721,,,,0
January 20 2020_A,Rmar01,pre,16,1,365.8897676,69.02336176,0.12,-0.04,-0.040950903,1.700865976,-0.83866013,0.29,0.124937436,0.753359648,0.143027123,,,,0
January 20 2020_A,Rmar01,pre,17,1,190.5371418,84.73782065,0.06,-0.03,-0.067782316,1.830755375,-1.867664137,0.28,0.146578354,0.973677816,0.174409549,,,,0
January 20 2020_A,Rmar01,pre,18,1,296.2540065,78.09932885,0.14,-0.01,0.00316296,1.359415313,0.60603037,0.28,0.124986505,0.586635532,0.119786152,,,,0
January 20 2020_A,Rmar01,pre,19,1,336.0814248,63.14276407,0.1,-0.02,0.369518736,2.039100272,-2.046377505,0.36,0.111126613,0.77234498,0.18768461,,,,0
January 20 2020_A,Rmar01,pre,20,1,100.0211209,89.79978619,0.08,-0.02,-0.248445206,1.061547118,-1.15524311,0.22,0.089341806,0.771037047,0.145487676,,,,0
January 20 2020_A,Rmar01,pre,21,1,308.261308,71.15109657,0.09,-0.03,0.085358016,1.740103791,-1.81829897,0.3,0.0927423,0.689778127,0.130542169,,,,0
January 20 2020_A,Rmar01,pre,22,1,293.7539349,55.21024014,0.05,-0.06,-0.218514222,1.154307061,-0.389662082,0.2,0.129181348,0.773995715,0.086576431,,,,0
January 20 2020_A,Rmar01,pre,23,1,571.5062384,65.33124942,0.11,-0.02,0.075338057,3.516757841,-1.591598696,0.32,0.114954751,0.959823207,0.17516987,,,,0
January 20 2020_A,Rmar02,pre,1,2,309.2408382,57.52479219,0.05,-0.01,-0.417730952,0.751758777,-1.823142476,0.15,0.116472778,0.538229283,0.058882395,,,,0
January 20 2020_A,Rmar02,pre,2,2,336.3358652,69.46870755,0.05,-0.03,-0.356914121,1.832048405,-1.800362793,0.16,0.099096404,0.684799551,0.094211314,,,,0
January 20 2020_A,Rmar02,pre,3,2,80.49268358,74.59519967,0.06,-0.02,-0.267461216,1.984484931,-2.387034972,0.16,0.115704819,0.511852524,0.10470075,,,,0
January 20 2020_A,Rmar02,pre,4,2,287.4302938,68.01512637,0.07,-0.06,0.304449784,2.170114464,-1.062809466,0.31,0.123866695,0.69043199,0.094772066,,,,0
January 20 2020_A,Rmar02,pre,5,2,941.2647446,82.14794203,0.08,-0.02,0.217901913,3.017150906,-2.490150635,0.19,0.102302847,0.706763622,0.084653704,,,,0
January 20 2020_A,Rmar02,pre,6,2,632.4163971,77.4314475,0.07,-0.02,0.252269145,2.782384531,-3.089799806,0.19,0.113857458,0.721764591,0.129903588,,,,0
January 20 2020_A,Rmar02,pre,7,2,775.7161859,57.02560548,0.07,-0.01,0.80065164,4.631751057,-5.656399299,0.2,0.095681255,0.640330032,0.111399802,,,,0
